,id,InventoryNumber,Maker,Country,Year,LocationSite,a,b,c,d,e,f,h1,h2,body,width,length,s1,s2,s3,s4,s5,s6,H,std_s1,std_s2,std_s3,std_s4,std_s5,std_s6,s_1sthalf,std_s_1sthalf,s_2ndhalf,std_s_2ndhalf,s_tot,std_s_tot,reff,PermanentLink
184,MFIM000026324,1994.2.1 ,Matouillot,France,1700,Musée de la Lutherie et de l'Archeterie (Mirecourt),0.22857528231325855,0.42358201617082353,0.34784270151591795,0.22547212863771635,0.43304227531338468,0.341485596048899,0.42483564908758231,0.49460860132034085,519.89869154830581,0.58202694884006323,1.6535553993903231,21.513393431282655,44.907825602179535,26.553070230355988,23.743037057550399,49.310621807448442,20.841854228385671,1.20658298439116,6.2300908807434867,43.436066050979342,9.4040709533337736,8.2588438132612296,51.887122097619581,5.8651335549877714,45.219941607891492,5.1125666767385387e-05,3.1925525979981083e-05,5.1087430855029613e-05,3.2658044397654909e-05,5.1111665086278408e-05,0.11328499140243059,http://www.mimo-international.com/MIMO/doc/IFD/OAI_CIMU_ALOES_0916544/violon
185,MFIM000026455,1996.9.1 ,Remy Fils,France,1770,Musée de la Lutherie et de l'Archeterie (Mirecourt),0.22961583506926672,0.41597763292985535,0.35440653200087796,0.22309182724457122,0.42281142056327864,0.35409675219215014,0.41267329628749638,0.48662125847437343,489.00636280497815,0.5666856913066296,1.634345069525299,27.079282017356711,74.976040256556288,28.617297434942003,30.471089845633557,66.808998596063617,27.009766669518335,0.19050494339126228,4.9491596853156592,87.931528705319352,6.9154436998949826,7.7044477207121345,58.190568857429341,8.9178332669907796,54.732943908621777,5.3938059960689508e-05,3.7719530316543496e-05,4.9977270850243959e-05,3.783287435188572e-05,5.1928399353745705e-05,0.11053546480342896,http://www.mimo-international.com/MIMO/doc/IFD/OAI_CIMU_ALOES_0916983/violon
186,MFIM000026452,1996.8.1 ,Henry Thouvenel,France,1875,Musée de la Lutherie et de l'Archeterie (Mirecourt),0.22021063673673638,0.41684847918855389,0.3629408840747097,0.21812010594654349,0.427786182023985,0.35409371202947154,0.44406914587249691,0.50646281387040548,461.62084046120492,0.57747789821253159,1.6181339434946884,25.181431226396374,94.234255464067076,26.411349724556253,26.370116180352774,70.98188378470303,24.495972423564766,2.1294332606553383,6.0309292526757128,128.15137840505523,5.7132132897368502,8.3259622197989707,61.720116531637991,6.1264892789767602,57.988586493588095,7.7782396236934168e-05,3.9636710044769893e-05,5.9335067549474586e-05,4.3813664814331741e-05,6.9291023979855154e-05,0.10710743125518569,http://www.mimo-international.com/MIMO/doc/IFD/OAI_CIMU_ALOES_0916981/violon
187,MI500_1289394199584_2,MI500 ,Gerhard Klier,Germany,1972,Germanisches Nationalmuseum,0.23688835542786613,0.41097565052955187,0.352135994042582,0.23280078010372421,0.42116084343196175,0.34603837646431401,0.40852645343614563,0.48837322101492908,427.05189695804296,0.56331037324467159,1.601105453418106,25.240627697156778,53.327285816389832,26.773757266307502,29.145957193314839,55.661802067942602,22.588814635164006,2.4128036941686934,6.5361409703237285,41.843966523972661,7.5946301990121343,11.653631850216692,37.175942582758616,6.7987631986084391,45.751274653868911,5.9062686990470179e-05,4.0937095070426559e-05,5.3452177903259157e-05,4.2613328262495243e-05,5.6183329368736563e-05,0.12867472055430679,http://www.mimo-international.com/MIMO/doc/IFD/OAI_GNM_DE_644826/violine
188,MFIM000027362,C.512 ,"Blanchi, Augustin",France,1894,Musée du Palais Lascaris (Nice),0.22387132328641079,0.42867021842487574,0.34745845828871347,0.21251583442728533,0.43463565382066915,0.35284851175204551,0.44964483145843481,0.4855040364428525,681.29494058981845,0.57157714957335914,1.6825907660876627,300.84716220853915,78.492434347214228,467.80415547818507,33.231903870083826,77.808652338055182,25.740528236751366,0.064936335028584508,2112.5025953739764,51.086303183203569,2916.9774330209402,6.7094552336933013,53.400293510478768,10.358408043937093,342.71317084039748,0.00073581373487983926,4.5568584626904459e-05,0.00033787469042160438,8.1644089024097806e-05,0.00058796347091684832,0.026387905783953655,http://www.mimo-international.com/MIMO/doc/IFD/OAI_CIMU_ALOES_0923574/violon-4-4
189,CMIM000023326,E.996.10.1 ,Nicolas Lupot,France,1803,Musée de la musique,0.23465156572552148,0.40519416414552056,0.36015427012895795,0.22810059644935748,0.40859998103796991,0.36329942251267261,0.43807746620961641,0.51745536653415125,1278.4791666666661,0.58133431839192606,1.3891505206381283,22.566637401453306,45.557341347038737,24.083855840343318,18.828876402033444,43.168988906371148,22.219312314930239,1.641121971560707,16.212116359687052,42.111804130436674,12.436864973487383,8.3008983608283877,34.146522472744891,32.555480336934899,48.820208471905389,1.1284786895300379e-05,6.0972317690600574e-06,1.0276056505396802e-05,6.4088261780893394e-06,1.076230753458449e-05,0.095462806166829367,http://www.mimo-international.com/MIMO/doc/IFD/OAI_CIMU_ALOES_0158532/violon
190,CMIM000023323,E.999.23.1 ,Edward Pamphilon,England,1700,Musée de la musique,0.25516798423762921,0.39915107376553255,0.34568094199683824,0.2455380860163105,0.41182246302705972,0.34263945095662979,0.45054811228727276,0.51871125384309646,1238.695833333333,0.55794740563560019,1.3276867135125319,18.709825780055503,385.93537413691877,19.734158829073355,20.188080322424042,83.802147275088757,17.53025733288418,0.11192839838957579,7.0527017289611091,2058.0533110108349,7.6641619405079808,6.3679827254435315,188.72916982837822,6.254850100651165,111.499778242513,0.00014190043063842437,8.3135293102552465e-06,1.9413417827365092e-05,1.2489585114928107e-05,9.9123163910349696e-05,0.05218222998112533,http://www.mimo-international.com/MIMO/doc/IFD/OAI_CIMU_ALOES_0156681/violon
191,0035207c,,,Unclear,-1,University of Edinburgh,0.23892705930009384,0.42364736866582153,0.33742557203408463,0.23975335707349663,0.4206634035859439,0.33958323934055951,0.41089329697466193,0.48566552590236289,399.96162635271611,0.56873412893219555,1.6211177469086464,23.377687843264571,50.686339211796792,25.449426660667172,27.177729008899682,49.388791364086451,22.777575874387299,0.78093835673776213,5.9507625846644281,29.842304772166592,10.782804356973331,7.1781730960576571,30.868097523823398,6.5764229847737283,37.560621384897409,5.1989575482907855e-05,4.1497699764487897e-05,5.3700307897740233e-05,4.1388282648773999e-05,5.2850007449843718e-05,0.15103790128503378,http://www.mimo-international.com/MIMO/doc/IFD/OAI_IMAGE_PROJECTS_LIB_ED_AC_UK_10683_14973/violin
192,CMIM000011669,E.968.8.5 ,Jean-Baptiste II Frébinet,France,1770,Musée de la musique,0.25357355940215648,0.41499787358752926,0.33142856701031426,0.23713240153414411,0.42060949086446825,0.34225810760138764,0.42640803291037099,0.50308858868762774,1533.4948051948049,0.57624718547720422,1.5850622222633084,318.94246430596365,61.170661322479596,923.22532513953968,29.872857536812099,57.299841305720783,39.105178906995093,0.019575349142024995,3444.8774333847641,42.280674290139409,4916.14343624301,9.7428758300747855,32.223345863951614,33.647670388393955,383.49147797778949,0.00021907159720403315,4.7455845049635877e-06,7.6171186237386879e-06,1.6574908544992462e-05,0.00015974540654051085,0.025655721996827502,http://www.mimo-international.com/MIMO/doc/IFD/OAI_CIMU_ALOES_0159716/violon
193,CMIM000023329,E.996.26.1 ,Pierre Joseph Hel,France,1901,Musée de la musique,0.23464252673991196,0.42016547376072055,0.34519199949936752,0.23884723359062596,0.41771625043284921,0.34343651597652486,0.43337853244519919,0.49772598080182595,1562.4249999999997,0.56842957537899108,1.1620397779093399,254.90478589235929,357.34646111199231,64.154330321718021,344.9542992940406,48.963626075740038,110.35248908209813,0.06780319418019691,2734.3931225637275,1816.8317622497361,185.94013542589533,2666.572607488989,56.768332225165004,318.10336439228718,236.09166498933209,0.00019713490998206985,2.0268987467086266e-05,0.00015543908096888738,2.0997094128725623e-05,0.00017723923748328831,0.019509334097374872,http://www.mimo-international.com/MIMO/doc/IFD/OAI_CIMU_ALOES_0158761/violon
194,4228,4228 ,Christian August Hopf,Germany,1820,Museum für Musikinstrumente der Universität Leipzig,0.23888532437834706,0.43527769843128539,0.32583697719036758,0.24598102389707036,0.43687070052020222,0.31714827558272746,0.44938321263940628,0.52183791343344466,473.15939803697535,0.58032277514605646,1.5274332526664445,20.855128083995954,57.35967802989714,23.891205016218962,25.88278252308157,57.447279088557217,20.678780440370669,1.1481747637994071,6.5537915156511568,44.86037538823404,10.750108674102071,9.5161105699173074,48.175396333385009,5.3193651655760181,41.336394587334141,5.3887451595446965e-05,3.648111049628073e-05,5.2590647231661484e-05,3.614169360865521e-05,5.3232271117656762e-05,0.12358807249559108,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0003820/violine
195,4229,4229 ,,Germany,1910,Museum für Musikinstrumente der Universität Leipzig,0.2184858225012945,0.42095865009614952,0.36055552740255598,0.21934491237866305,0.42602148929178291,0.35463359832955405,0.44757500536764078,0.51402299985266542,439.68022280144112,0.58301301164639796,1.6410045555897179,24.498731573428604,67.232165950509824,28.587908463505627,27.652949689353726,67.739119097093536,23.422671500386613,2.2408977204321454,7.1443130930327987,58.784361426549339,7.2053484995795287,9.7923547497764556,57.306953007404239,7.7734725422806186,52.813621853258027,6.7465176100537478e-05,4.4540368157133093e-05,7.1215355667841168e-05,4.5400373027477674e-05,6.9401100210600053e-05,0.11393750801792119,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0003821/violine
196,4224,4224 ,Johann Adam Schönfelder,Germany,1750,Museum für Musikinstrumente der Universität Leipzig,0.24121259332132361,0.4336424192386058,0.32514498744007059,0.24377152634588836,0.42340883548791908,0.33281963816619253,0.42515367166117168,0.48542322534670929,441.90629052650712,0.55945939910805531,1.6124585227825643,23.406590805643098,53.096118176744348,28.965352381360294,27.301215009660318,52.864812878384853,23.964448618237785,2.5555212561639999,7.3589384750762949,27.85325884813556,9.7253462423683388,9.8279023672410091,28.712591635902132,6.4359466740789637,39.855398525284372,4.8005121407817649e-05,3.701529140457187e-05,4.5826948387420888e-05,3.6327039165887716e-05,4.6929998771712258e-05,0.14096445944413635,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0003816/violine
197,4225,4225 ,,Czech Republic,1880,Museum für Musikinstrumente der Universität Leipzig,0.23023278313683304,0.42628326151113,0.34348395535203696,0.2277686571227267,0.43238667351524163,0.33984466936203167,0.40870195177082602,0.47433580692007488,448.94115549060717,0.55622445700968648,1.6343273779165108,24.880941063238101,58.180437993235842,30.71994790342152,30.679458565691753,64.536335863635415,22.84806189457089,2.6407435458745483,4.7373336974653286,33.03273605542185,7.7152683938394135,8.2226544461058264,47.496163786783619,6.945943637465648,42.033012805309198,3.3818951732569484e-05,3.5724731778414556e-05,3.9596458848562016e-05,3.565644609598458e-05,3.6864277948197923e-05,0.1391499662732853,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0003817/violine
198,4226,4226 ,,Unclear,1880,Museum für Musikinstrumente der Universität Leipzig,0.24658205426582402,0.40889474877357262,0.34452319696060335,0.24271685020493816,0.41241879803318221,0.34486435176187963,0.4398704487301765,0.51178698989961025,429.91627521352882,0.57788695382348831,1.5952808023890048,25.786169423390042,63.804212856164469,30.173741454104047,28.046801182054828,65.081674695534161,24.202327969420129,0.12094289540025074,4.9371388071428157,44.550406975615992,6.0624555586368674,8.4817498683535035,53.506986236007194,9.9904676611044785,48.882848732881257,5.6518427821321341e-05,4.4166225505459274e-05,5.9624894017355559e-05,4.5043782041512015e-05,5.8147878073560304e-05,0.12011503685844559,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0003818/violine
199,4227,4227 ,Gustav Günther,Germany,1880,Museum für Musikinstrumente der Universität Leipzig,0.23043838638573616,0.42116633307421086,0.34839528054005298,0.23001769292960125,0.42391652134743996,0.34606578572295876,0.41695661096829423,0.49425542467463174,457.78931116310844,0.57562064390479772,1.6131498709448868,25.083316196409097,56.773214891817723,29.548495033699201,27.4092671809602,59.788548560893574,23.736780892238535,2.4355139705415043,7.9959950171480401,46.575605405529778,9.3036580638102357,9.2575650981201001,59.685440608497146,8.8352183705188239,46.016363048237672,5.6252262289509728e-05,3.7719975456334789e-05,5.2196952875321189e-05,3.793204757482095e-05,5.4246927176166615e-05,0.12579472122691895,http://www.mimo-international.com/MIMO/doc/IFD/OAI_ULEI_M0003819/violine
